MSISDN;Client_Age;Client_Crea;Client_Type;Client_Offer;Geoloc_commune;Geoloc_ville;Geoloc_region;Geoloc_type;Communaute_Role;Communaute_Taille;Profile_1;Profile_2;Profile_3;Voix_Nbj_Activite;Voix_National;Voix_National_Nb;Voix_NbContact_National;Voix_International;Voix_International_Nb;Voix_NbContact_International;Voix_Roaming;Voix_Roaming_Nb;Voix_NbContact_Roaming;SMS_Nbj_Activite;SMS_NB;SMS__Contacts;Data_Nbj_Activite;Data_Volume;Data_2G;Data_3G;Data_4G;Data_Roaming;Reseaux_Sociaux;Web;News;Omoney_Billpay_mnt;Omoney_Billpay_Nbr;Omoney_Cashin_mnt;Omoney_Cashin_Nbr;Omoney_Cashout_mnt;Omoney_Cashout_Nbr;Omoney_merchpay_mnt;Omoney_merchpay_Nbr;Omoney_P2P_mnt;Omoney_P2P_Nbr;Omoney_RC_mnt;Omoney_RC_Nbr;Equipement_Marque;Equipement_Modele;Equipement_Term_Type;Equipement_4G;Equipement_OS;OOP_Telecom;OOP_Glon;OOP_Assurances;OOP_Automobile;OOP_Bank;OOP_Retail;OOP_Hotels;Longitude;Latitude;Long_Ville;Lat_Ville;Long_Region;Lat_Region
292999959;65;12/02/2016;Postpaid_B2B;Postpaid_B2C_offer;Commune_1;Meskin;EXTREME NORD;Geoloc_Weekend;Neutral;88;Jeunes;Fourmis;Spending_Voix;28;262;439;82;211;168;25;831;66;87;19;85;39;28;10;4;1;5;10;10;8;10;85861;8;93747;9;85582;6;15769;1;52655;4;58055;10;Sony;Xperia ZII;Smartphone;NON;Windows;95178;63922;65331;9090;88774;77963;33142; 14.271 ; 10.564 ; 14.271 ; 10.564 ;14.46861;10.7487
649999908;17;27/02/2016;Prepaid_B2C;Postpaid_B2C_offer;Commune_1;Ngoulemakong;EST;Geoloc_Work;Neutral;68;Jeunes;Fourmis;Spending_Messaging;7;627;487;65;337;190;83;233;57;95;22;550;29;26;19;2;7;10;5;9;6;8;55650;2;5542;7;12085;5;36522;2;70051;8;48017;6;Samsung;S8 Plus;Feature Phone;NON;Autre;20535;89483;81695;30718;35266;97709;40511; 12.6755 ; 3.9132 ; 12.6755 ; 3.9132 ;13.81931;4.59548
439999938;66;04/07/2015;Postpaid_B2B;Prepaid_B2C_Offer;Commune_1;Nkoteng;CENTRE;Geoloc_Weekend;F;66;Students;Fourmis;Spending_Messaging;13;756;881;97;384;538;83;98;42;72;9;245;35;20;11;4;2;5;9;5;5;4;91842;2;47881;3;92174;7;54767;3;99430;10;86678;3;Sony;Xperia AX;Smartphone;OUI;Windows;11053;54744;33840;89466;31807;4719;3380; 12.1216 ; 4.5024 ; 12.1162 ; 4.4946 ;11.51645;3.89897
488999931;69;16/08/2011;Postpaid_B2B;Prepaid_B2C_Offer;Commune_3;Ke-Eke;SUD;Geoloc_Weekend;LB;59;Jeunes;Fourmis;Spending_Data;10;183;812;15;811;423;90;523;43;24;18;111;99;23;13;1;7;5;5;8;4;5;77856;9;89996;4;72874;1;56876;3;82703;9;57059;9;Sony;Ericson;Feature Phone;OUI;Android;43695;32093;75827;78533;2124;33560;52452; 11.2735 ; 2.9039 ; 11.2735 ; 2.9039 ;10.96861;2.86567
54999993;28;28/10/2017;Postpaid_B2C;Postpaid_B2B_offer;Commune_1;Gamba;NORD;Geoloc_Weekend;F;59;Students;Fourmis;Spending_Messaging;3;106;269;52;928;991;70;579;65;32;29;226;92;21;7;1;5;1;7;1;3;10;88227;3;50838;1;30388;8;17795;2;50027;6;5825;4;Apple;Iphone X;Smartphone;NON;Autre;53723;34595;40604;73138;73624;41125;17149; 13.5928 ; 8.0884 ; 13.5928 ; 8.0884 ;13.54680;9.28246
6000000;19;09/10/2011;Postpaid_B2B;Postpaid_B2C_offer;Commune_3;Koungoulou;SUD;Geoloc_Weekend;L;96;Foreigners;Cigales;Spending_Messaging;17;94;168;85;715;429;28;532;19;83;3;641;50;22;20;9;2;9;5;7;1;8;52669;5;21518;1;32593;6;64524;10;27548;1;453;9;Nokia;Nokia 8;Feature Phone;OUI;Android;1675;27649;22109;20969;26818;42031;77793; 13.1855 ; 2.6892 ; 13.1855 ; 2.6892 ;10.96861;2.86567
439999938;55;03/03/2016;Postpaid_B2C;Postpaid_B2C_offer;Commune_1;Double(Djakaramani;EXTREME NORD;Geoloc_Work;FB;48;Students;Cigales;Spending_Voix;20;916;458;32;303;588;54;205;73;75;22;694;40;26;11;3;4;4;4;2;2;10;56700;2;62188;10;95375;9;73415;4;32186;9;65905;9;OPPO;F8;Feature Phone;OUI;IOS;70812;26919;98823;28529;72049;27867;23413; 14.2966 ; 11.223 ; 14.2966 ; 11.223 ;14.46861;10.7487
600999915;21;13/01/2015;Prepaid_B2C;Postpaid_B2C_offer;Commune_2;Ndemba;EST;Geoloc_Work;Neutral;80;Jeunes;Fourmis;Spending_Messaging;16;416;984;63;817;250;89;915;36;85;4;857;17;27;20;9;3;8;4;6;5;4;17495;8;93215;10;40304;4;13936;5;42246;10;23244;6;Apple;Iphone 6;Smartphone;NON;Autre;8754;20743;30979;63090;99153;36612;1398; 13.8293 ; 4.5655 ; 13.8293 ; 4.5655 ;13.81931;4.59548
460999935;23;18/05/2017;Postpaid_B2B;Postpaid_B2C_offer;Commune_1;Bascheo;NORD;Geoloc_Work;LB;77;Jeunes;Fourmis;Spending_Messaging;24;154;369;44;62;824;37;176;5;84;5;742;61;29;15;10;1;4;7;6;7;7;36200;9;7908;10;53008;10;72525;3;64516;9;18032;6;Samsung;S8;Smartphone;OUI;IOS;3174;12993;63665;50572;84234;17874;18786; 13.3737 ; 9.6705 ; 13.3737 ; 9.6705 ;13.54680;9.28246
145999980;52;19/05/2009;Prepaid_B2C;Prepaid_B2C_Offer;Commune_1;Galim-Tignere;ADAMAOUA;Geoloc_Weekend;L;49;Foreigners;Cigales;Spending_Data;20;937;163;2;323;901;89;540;14;76;9;940;49;21;18;1;7;10;6;1;9;2;77561;7;15053;9;6918;10;31520;2;21288;5;19742;8;Nokia;Lumia 700;Feature Phone;OUI;Android;16072;1380;26672;65508;94626;68270;75027; 12.4767 ; 7.091 ; 12.4767 ; 7.091 ;13.58763;7.16124
